logger,variable,site,month,value
otc,Tair,H,2014-08-15,6.797445664351333
gradient,Tair,A,2014-08-15,NA
otc,Tair,A,2014-08-15,NA
gradient,Tair,M,2014-08-15,8.681802111688526
otc,Tair,M,2014-08-15,10.532489356934796
gradient,Tair,L,2014-08-15,11.032147253230338
otc,Tair,L,2014-08-15,NA
gradient,Tair,H,2014-09-15,5.768750804443325
otc,Tair,H,2014-09-15,7.268703703703704
gradient,Tair,A,2014-09-15,NA
otc,Tair,A,2014-09-15,NA
gradient,Tair,M,2014-09-15,8.242336805555555
otc,Tair,M,2014-09-15,10.328333333333333
gradient,Tair,L,2014-09-15,10.19428845164609
otc,Tair,L,2014-09-15,NA
gradient,Tair,H,2014-10-15,1.4164209694094752
otc,Tair,H,2014-10-15,2.5750168048397937
gradient,Tair,A,2014-10-15,NA
otc,Tair,A,2014-10-15,NA
gradient,Tair,M,2014-10-15,3.89823874950219
otc,Tair,M,2014-10-15,6.055052655164688
gradient,Tair,L,2014-10-15,6.153908140063665
otc,Tair,L,2014-10-15,NA
gradient,Tair,H,2014-11-15,-2.323327834295665
otc,Tair,H,2014-11-15,-0.8645601851851852
gradient,Tair,A,2014-11-15,NA
otc,Tair,A,2014-11-15,NA
gradient,Tair,M,2014-11-15,NA
otc,Tair,M,2014-11-15,1.469861111111111
gradient,Tair,L,2014-11-15,0.18372247963417213
otc,Tair,L,2014-11-15,NA
gradient,Tair,H,2014-12-15,-5.037364969135802
otc,Tair,H,2014-12-15,-3.8652777777777776
gradient,Tair,A,2014-12-15,NA
otc,Tair,A,2014-12-15,NA
gradient,Tair,M,2014-12-15,NA
otc,Tair,M,2014-12-15,-2.2953629032258065
gradient,Tair,L,2014-12-15,-4.337716049382716
otc,Tair,L,2014-12-15,-4.8790658882402
gradient,Tair,H,2015-01-15,-4.174063246714456
otc,Tair,H,2015-01-15,-3.086872759856631
gradient,Tair,A,2015-01-15,NA
otc,Tair,A,2015-01-15,NA
gradient,Tair,M,2015-01-15,NA
otc,Tair,M,2015-01-15,-0.8304883512544803
gradient,Tair,L,2015-01-15,-3.2106916354556803
otc,Tair,L,2015-01-15,NA
gradient,Tair,H,2015-02-15,-3.0192305123626175
otc,Tair,H,2015-02-15,-1.985094246031746
gradient,Tair,A,2015-02-15,NA
otc,Tair,A,2015-02-15,NA
gradient,Tair,M,2015-02-15,NA
otc,Tair,M,2015-02-15,0.5567460317460318
gradient,Tair,L,2015-02-15,-1.3687503031305115
otc,Tair,L,2015-02-15,NA
gradient,Tair,H,2015-03-15,0.19222006781693166
otc,Tair,H,2015-03-15,1.251926523297491
gradient,Tair,A,2015-03-15,NA
otc,Tair,A,2015-03-15,NA
gradient,Tair,M,2015-03-15,NA
otc,Tair,M,2015-03-15,4.051523297491039
gradient,Tair,L,2015-03-15,2.3042287684189566
otc,Tair,L,2015-03-15,1.0558814814814814
gradient,Tair,H,2015-04-15,-0.3145757024220363
otc,Tair,H,2015-04-15,0.8800416763139616
gradient,Tair,A,2015-04-15,NA
otc,Tair,A,2015-04-15,NA
gradient,Tair,M,2015-04-15,NA
otc,Tair,M,2015-04-15,4.5409448818897635
gradient,Tair,L,2015-04-15,4.843546584668623
otc,Tair,L,2015-04-15,NA
gradient,Tair,H,2015-05-15,3.3927216414443118
otc,Tair,H,2015-05-15,5.011581541218638
gradient,Tair,A,2015-05-15,4.587810259856631
otc,Tair,A,2015-05-15,NA
gradient,Tair,M,2015-05-15,6.3655256869773
otc,Tair,M,2015-05-15,8.6211917562724
gradient,Tair,L,2015-05-15,8.313257143568299
otc,Tair,L,2015-05-15,NA
gradient,Tair,H,2015-06-15,6.275764609248718
otc,Tair,H,2015-06-15,7.79625
gradient,Tair,A,2015-06-15,7.122608333333333
otc,Tair,A,2015-06-15,NA
gradient,Tair,M,2015-06-15,8.720649691358025
otc,Tair,M,2015-06-15,10.4875
gradient,Tair,L,2015-06-15,10.710008446191932
otc,Tair,L,2015-06-15,NA
gradient,Tair,H,2015-07-15,5.527498741370056
otc,Tair,H,2015-07-15,6.977660766300694
gradient,Tair,A,2015-07-15,6.931291666666667
otc,Tair,A,2015-07-15,NA
gradient,Tair,M,2015-07-15,NA
otc,Tair,M,2015-07-15,10.32328552218736
gradient,Tair,L,2015-07-15,10.466028244818077
otc,Tair,L,2015-07-15,NA
gradient,Tair,H,2015-08-15,5.524572417982989
otc,Tair,H,2015-08-15,6.5932780640824555
gradient,Tair,A,2015-08-15,6.875860677466863
otc,Tair,A,2015-08-15,NA
gradient,Tair,M,2015-08-15,NA
otc,Tair,M,2015-08-15,10.392735426008969
gradient,Tair,L,2015-08-15,NA
otc,Tair,L,2015-08-15,NA
gradient,Tair,H,2015-09-15,5.083500633981403
otc,Tair,H,2015-09-15,6.678360807986998
gradient,Tair,A,2015-09-15,5.601377083333333
otc,Tair,A,2015-09-15,NA
gradient,Tair,M,2015-09-15,6.8842617357638325
otc,Tair,M,2015-09-15,8.986921046316295
gradient,Tair,L,2015-09-15,8.932843981481481
otc,Tair,L,2015-09-15,NA
gradient,Tair,H,2015-10-15,2.040665928503638
otc,Tair,H,2015-10-15,3.3714989917096125
gradient,Tair,A,2015-10-15,3.0387271601881656
otc,Tair,A,2015-10-15,NA
gradient,Tair,M,2015-10-15,4.255891803624104
otc,Tair,M,2015-10-15,6.610314606741573
gradient,Tair,L,2015-10-15,5.713798376439494
otc,Tair,L,2015-10-15,NA
gradient,Tair,H,2015-11-15,0.6142652777777778
otc,Tair,H,2015-11-15,1.9984953703703703
gradient,Tair,A,2015-11-15,1.128250424808836
otc,Tair,A,2015-11-15,NA
gradient,Tair,M,2015-11-15,2.2649476851851853
otc,Tair,M,2015-11-15,5.408773148148148
gradient,Tair,L,2015-11-15,3.27612962962963
otc,Tair,L,2015-11-15,NA
gradient,Tair,H,2015-12-15,-6.8669074794639
otc,Tair,H,2015-12-15,-5.7505376344086025
gradient,Tair,A,2015-12-15,-6.036001731601732
otc,Tair,A,2015-12-15,NA
gradient,Tair,M,2015-12-15,-4.508940017323517
otc,Tair,M,2015-12-15,-2.3757059614522635
gradient,Tair,L,2015-12-15,-3.348333477789816
otc,Tair,L,2015-12-15,NA
gradient,Tair,H,2016-01-15,-6.85779502688172
otc,Tair,H,2016-01-15,-5.553629032258065
gradient,Tair,A,2016-01-15,-7.301837016204634
otc,Tair,A,2016-01-15,NA
gradient,Tair,M,2016-01-15,-6.220155689964158
otc,Tair,M,2016-01-15,-3.5211245519713263
gradient,Tair,L,2016-01-15,-5.614906661695252
otc,Tair,L,2016-01-15,NA
gradient,Tair,H,2016-02-15,NA
otc,Tair,H,2016-02-15,-4.79279214559387
gradient,Tair,A,2016-02-15,-6.742185391951617
otc,Tair,A,2016-02-15,NA
gradient,Tair,M,2016-02-15,-5.28101412835249
otc,Tair,M,2016-02-15,-2.6773467432950193
gradient,Tair,L,2016-02-15,-3.625943965517241
otc,Tair,L,2016-02-15,-2.975893854748603
gradient,Tair,H,2016-03-15,NA
otc,Tair,H,2016-03-15,-0.5098790322580645
gradient,Tair,A,2016-03-15,-0.934853494623656
otc,Tair,A,2016-03-15,NA
gradient,Tair,M,2016-03-15,0.6210125448028674
otc,Tair,M,2016-03-15,2.530309139784946
gradient,Tair,L,2016-03-15,1.7147968189964158
otc,Tair,L,2016-03-15,NA
gradient,Tair,H,2016-04-15,-0.6452547632008709
otc,Tair,H,2016-04-15,1.7418152350081038
gradient,Tair,A,2016-04-15,1.1474853578813955
otc,Tair,A,2016-04-15,NA
gradient,Tair,M,2016-04-15,2.2262564741035855
otc,Tair,M,2016-04-15,4.6948599212780735
gradient,Tair,L,2016-04-15,4.959619326500732
otc,Tair,L,2016-04-15,NA
gradient,Tair,H,2016-05-15,4.169638216845878
otc,Tair,H,2016-05-15,6.019802867383513
gradient,Tair,A,2016-05-15,5.253570340501792
otc,Tair,A,2016-05-15,NA
gradient,Tair,M,2016-05-15,6.82035103046595
otc,Tair,M,2016-05-15,9.497267025089606
gradient,Tair,L,2016-05-15,8.644416890681004
otc,Tair,L,2016-05-15,NA
gradient,Tair,H,2016-06-15,6.377247685185186
otc,Tair,H,2016-06-15,8.64912037037037
gradient,Tair,A,2016-06-15,7.408098842592593
otc,Tair,A,2016-06-15,NA
gradient,Tair,M,2016-06-15,9.174461342592593
otc,Tair,M,2016-06-15,12.188287037037037
gradient,Tair,L,2016-06-15,11.246462962962964
otc,Tair,L,2016-06-15,NA
gradient,Tair,H,2016-07-15,7.772785043181171
otc,Tair,H,2016-07-15,9.721415770609319
gradient,Tair,A,2016-07-15,9.006144637652026
otc,Tair,A,2016-07-15,NA
gradient,Tair,M,2016-07-15,10.954998331108143
otc,Tair,M,2016-07-15,13.444454402868026
gradient,Tair,L,2016-07-15,12.864527934936351
otc,Tair,L,2016-07-15,NA
gradient,Tair,H,2016-08-15,8.058427328879365
otc,Tair,H,2016-08-15,9.86518817204301
gradient,Tair,A,2016-08-15,9.578432612522002
otc,Tair,A,2016-08-15,NA
gradient,Tair,M,2016-08-15,11.52571847217649
otc,Tair,M,2016-08-15,14.529471089197669
gradient,Tair,L,2016-08-15,13.663270182046453
otc,Tair,L,2016-08-15,NA
gradient,Tair,H,2016-09-15,3.5666508186397987
otc,Tair,H,2016-09-15,5.656666666666666
gradient,Tair,A,2016-09-15,4.888013425925926
otc,Tair,A,2016-09-15,NA
gradient,Tair,M,2016-09-15,NA
otc,Tair,M,2016-09-15,8.738472222222223
gradient,Tair,L,2016-09-15,8.649653935185185
otc,Tair,L,2016-09-15,NA
